id,naiveTrue,naiveFake,halfTrue,halfFake,prob
7304,-20.653044066165137,-31.703934071538807,0.0,0.0,-1.4398021648360744
8649,-47.94700596235609,7.895519790404582e-10,-95.20028524690578,-34.412774199135086,24.726712465748776
7813,-10.66999963823858,-17.092274274982856,-6.879098569732332,-10.567978023846269,-1.9581895247311483
2188,-11.088368151182653,-21.135956047692538,0.0,0.0,-1.309083593967643
7046,-56.853677629055504,-72.32415182224538,-19.420900384872503,-31.703934071538807,-5.749740098164359
8000,-58.06492071771188,-70.19064283674106,0.0,0.0,-1.5798402616159728
8049,-10.784582671164292,-15.839511306487488,0.0,0.0,-0.6585982838206795
7193,-22.21905395202912,-33.17294763828723,-7.166780642184113,-10.567978023846269,-2.4611495532927936
9579,-75.31922981512886,-42.061055493042545,-93.94564965306743,-52.93508378470246,16.800616195330072
10183,-64.68997012637416,-23.798476501374843,-340.7732441144625,-97.22723796592558,79.36716560335528
2361,0.0,-63.924242390474674,-7.572245750292278,-10.567978023846269,-9.239304715973512
1221,0.0,-65.48301751339635,-157.76439778764245,-221.92753850077165,-28.03766251663832
1809,-7.166780642184113,-10.567978023846269,0.0,0.0,-0.4431363764158987
7425,-33.08210525834986,-40.33972828047135,0.0,0.0,-0.945583689072409
4052,-24.066406733097743,-38.92137750323534,0.0,0.0,-1.935429550291457
9210,-96.36956688606773,0.0,-342.7210268888608,-224.76513940496974,48.41514506618598
3200,7.35855820721283e-13,-38.228230322675394,0.0,0.0,-4.980692844619443
8031,-42.04421913798166,-41.9183662290593,0.0,0.0,0.016397167162935992
7601,-60.04626385664139,-95.11180221461642,-12.89319970197806,-21.135956047692538,-7.074479461782377
8099,-37.16995419624443,5.827116567030619e-12,-26.612302799673433,-21.707028021235004,6.334045437954935
10487,-73.16013794706335,0.0,-19.040057049381158,-12.35544532171323,11.564076252601453
7217,-71.543839532787,-112.89722367015922,-14.739026392476392,-21.135956047692538,-7.332569836934415
10287,-38.081790577769205,-43.65391428514387,0.0,0.0,-0.7259827735785321
2395,0.0,-49.48935552708161,0.0,0.0,-6.4478862055079205
4533,-5.962807837858177,-10.567978023846269,0.0,0.0,-0.5999999999999999
4603,0.0,-112.20407648959927,-21.618124962208725,-31.703934071538807,-17.68503124914313
5219,-59.38146180885939,-53.322335042378086,-7.572245750292278,-10.567978023846269,-0.12128740101424906
9507,-100.7884232156104,0.0,-266.5607986913362,-89.35681001903329,67.00265692882
1896,-30.505587648487136,-47.54344537802629,-7.572245750292278,-10.567978023846269,-3.1305552755822434
9665,-84.89684245076462,-54.215603997659024,-512.8269047394529,-331.39346903214107,59.154285739746236
7198,6.640807901374554e-10,-28.35339947938907,0.0,0.0,-3.6941174812156836
140,-42.465468082565984,-73.08058107167292,-166.10878892661634,-295.90338466769555,-43.447146088053906
5309,-14.002580225929771,-28.35339947938907,-50.48669284453011,-101.63609846575301,-17.419477713520283
7963,-35.756456337501334,-42.060075332194344,0.0,0.0,-0.8212880836247093
1704,1.576516694967598e-13,-50.58367564438862,-85.05621160225752,-158.51967035769403,-28.923805693331833
1047,0.0,-137.3837143100015,-112.19739189326428,-158.51967035769403,-31.981753656863308
5830,-12.59896022898012,-21.135956047692538,0.0,0.0,-1.1122710528293809
2439,-44.00788284019436,-89.81535747341137,-162.91378237638082,-295.90338466769555,-46.397835336877016
10429,-92.10840697000043,0.0,-430.26183980545494,-186.02103106514906,86.2513567092427
7916,-47.161858975523735,1.2323475573338478e-13,-95.20028524690578,-51.06156516904843,19.563082330470806
7471,-34.68317492111344,-52.83989011923134,0.0,0.0,-2.3656083660094533
3096,-30.309976200563128,-49.48935552708161,0.0,0.0,-2.4988495823508843
