id,naiveTrue,naiveFake,halfTrue,halfFake,prob
1,-62.88479761437172,-80.58627462767278,-22.077135601916492,-31.75747960313841,-5.249180124383317
2,-46.377482709285516,-63.92307432540012,-7.590094260825479,-10.58582653437947,-3.196707083146746
3,-30.20709319633856,-47.62723476661382,-13.234278372595645,-21.17165306875894,-4.6826520293227505
4,0.0,-179.95905108445098,-6.673803528951324,-10.58582653437947,-24.635845859391953
5,-16.632285786426085,-15.681584630777488,0.0,0.0,0.1238652797511692
6,-37.529591199636734,-48.879997735109185,0.0,0.0,-1.4788256777142876
7,0.0,-84.9666128717632,-354.9132461490147,-539.877153253353,-67.30032227954081
8,0.0,-102.48430831137888,-6.673803528951324,-10.58582653437947,-14.541789877426236
9,-23.463429963036383,-31.75747960313841,0.0,0.0,-1.0806179973983885
10,-34.71056811206712,-52.92913267189735,0.0,0.0,-2.3736666169597243
11,-5.885346168587054,-10.58582653437947,0.0,0.0,-0.6124178055474673
12,-19.11933904488483,-27.416324192299864,-14.774723413542795,-21.17165306875894,-3.0257063350552267
13,0.0,-95.27243880941523,0.0,0.0,-12.412888335718273
14,-50.58837559539819,0.0,0.0,0.0,6.591075710859169
15,0.0,-70.74479798442808,-14.369258305434629,-21.17165306875894,-11.285192373006748
16,-24.156577143596326,-31.75747960313841,0.0,0.0,-0.9903089986991942
17,0.0,-87.1161943250376,-169.52356586023555,-275.23148989386624,-43.48608241481031
18,-57.6777105310784,-81.94571032999946,-50.76555165841536,-68.44221289143402,-8.535651022231388
19,0.0,-109.71772762826564,-154.70984825021085,-222.30235722196886,-34.8434786678773
20,-16.94723688699342,-25.310449393551874,-46.4775448120467,-74.10078574065629,-9.48726388808022
21,3.3893867655024787e-09,-26.45558169785488,-7.590094260825479,-10.58582653437947,-4.357574941482095
22,-40.643659036184964,-60.1589714500486,0.0,0.0,-2.5426177481877024
23,0.0,-119.43820373091387,-211.13524465032694,-328.16062256576356,-51.13783895255343
24,0.0,-35.11073249231203,-24.849724324156274,-16.86120259715145,-2.1459595798759956
25,0.0,-62.957993429356534,-68.31084834742931,-95.27243880941523,-16.399181714104294
26,-23.81179983847663,-33.83957115583338,-6.203799899705588,-10.58582653437947,-2.6386647155690826
27,0.002271867694317023,-10.58582653437947,0.0,0.0,-1.3795058129607851
28,0.0,-62.578951599081485,-88.24286800724028,-144.15243654452442,-25.15015997976544
29,-16.44730971787589,-19.48425792850002,0.0,0.0,-0.39567895491000454
30,-19.6197047644759,-27.49261055989361,-129.95728767450822,-190.54487761883047,-19.44474705229348
31,-68.01616707562584,0.0,-320.9108995788604,-167.27888500893218,55.56678913232604
32,0.0,-107.34030013899574,0.0,0.0,-13.98519001086141
33,-33.68955354207948,-35.46360786768864,-8.283241441385425,-5.150397236471415,0.7212652643371186
