id,label
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,0
279,1
280,1
